Мотор;x;y;z;time;
;0,05189505;0,1147655;2,148197;0;
;0,05189505;0,1147655;2,148197;0,01;
;0,05189505;0,1147655;2,148197;0,02;
;0,05189505;0,1147655;2,148197;0,03;
;0,05189505;0,1147655;2,148197;0,04;
;0,05189505;0,1147655;2,148197;0,05;
;0,05189505;0,1147655;2,148197;0,05999999;
;0,05189505;0,1147655;2,148197;0,06999999;
;0,05189505;0,1147655;2,148197;0,07999999;
;0,05189505;0,1147655;2,148197;0,08999999;
;0,05189505;0,1147655;2,148197;0,09999999;
;0,05189505;0,1147655;2,148197;0,11;
;0,05189505;0,1147655;2,148197;0,12;
;0,05189505;0,1147655;2,148197;0,13;
;0,05189505;0,1147655;2,148197;0,14;
;0,05189505;0,1147655;2,148197;0,15;
;0,05189505;0,1147655;2,148197;0,16;
;0,05189505;0,1147655;2,148197;0,17;
;0,05189505;0,1147655;2,148197;0,18;
;0,05189505;0,1147655;2,148197;0,19;
;0,05189505;0,1147655;2,148197;0,2;
;0,05189505;0,1147655;2,148197;0,21;
;0,05189505;0,1147655;2,148197;0,22;
;0,05189505;0,1147655;2,148197;0,23;
;0,05189505;0,1147655;2,148197;0,24;
;0,05189505;0,1147655;2,148197;0,25;
;0,05189505;0,1147655;2,148197;0,26;
;0,05189505;0,1147655;2,148197;0,27;
;0,05189505;0,1147655;2,148197;0,28;
;0,05189505;0,1147655;2,148197;0,29;
;0,05189505;0,1147655;2,148197;0,3;
;0,05189505;0,1147655;2,148197;0,31;
;0,05189505;0,1147655;2,148197;0,32;
;0,05189505;0,1147655;2,148197;0,33;
;0,05189505;0,1147655;2,148197;0,3399999;
;0,05189505;0,1147655;2,148197;0,3499999;
;0,05189505;0,1147655;2,148197;0,3599999;
;0,05189505;0,1147655;2,148197;0,3699999;
;0,05189505;0,1147655;2,148197;0,3799999;
;0,05189505;0,1147655;2,148197;0,3899999;
;0,05189505;0,1147655;2,148197;0,3999999;
;0,05189505;0,1147655;2,148197;0,4099999;
;0,05189505;0,1147655;2,148197;0,4199999;
;0,05189505;0,1147655;2,148197;0,4299999;
;0,05189505;0,1147655;2,148197;0,4399998;
;0,05189505;0,1147655;2,148197;0,4499998;
;0,05189505;0,1147655;2,148197;0,4599998;
;0,05189505;0,1147655;2,148197;0,4699998;
;0,05189505;0,1147655;2,148197;0,4799998;
;0,05189505;0,1147655;2,148197;0,4899998;
;0,05189505;0,1147655;2,148197;0,4999998;
;0,05189505;0,1147655;2,148197;0,5099998;
;0,05189505;0,1147655;2,148197;0,5199998;
;0,05189505;0,1147655;2,148197;0,5299998;
;0,05189505;0,1147655;2,148197;0,5399998;
;0,05189505;0,1147655;2,148197;0,5499998;
;0,05189505;0,1147655;2,148197;0,5599998;
;0,05189505;0,1147655;2,148197;0,5699998;
;0,05189505;0,1147655;2,148197;0,5799997;
;0,05189505;0,1147655;2,148197;0,5899997;
;0,05189505;0,1147655;2,148197;0,5999997;
;0,05189505;0,1147655;2,148197;0,6099997;
;0,05189505;0,1147655;2,148197;0,6199997;
;0,05189505;0,1147655;2,148197;0,6299997;
;0,05189505;0,1147655;2,148197;0,6399997;
;0,05189505;0,1147655;2,148197;0,6499997;
;0,05189505;0,1147655;2,148197;0,6599997;
;0,05189505;0,1147655;2,148197;0,6699997;
;0,05189505;0,1147655;2,148197;0,6799996;
;0,05189505;0,1147655;2,148197;0,6899996;
;0,05189505;0,1147655;2,148197;0,6999996;
;0,05189505;0,1147655;2,148197;0,7099996;
;0,05189505;0,1147655;2,148197;0,7199996;
;0,05189505;0,1147655;2,148197;0,7299996;
;0,05189505;0,1147655;2,148197;0,7399996;
;0,05189505;0,1147655;2,148197;0,7499996;
;0,05189505;0,1147655;2,148197;0,7599996;
;0,05189505;0,1147655;2,148197;0,7699996;
;0,05189505;0,1147655;2,148197;0,7799996;
;0,05189505;0,1147655;2,148197;0,7899995;
;0,05189505;0,1147655;2,148197;0,7999995;
;0,05189505;0,1147655;2,148197;0,8099995;
;0,05189505;0,1147655;2,148197;0,8199995;
;0,05189505;0,1147655;2,148197;0,8299995;
;0,05189505;0,1147655;2,148197;0,8399995;
;0,05189505;0,1147655;2,148197;0,8499995;
;0,05189505;0,1147655;2,148197;0,8599995;
;0,05189505;0,1147655;2,148197;0,8699995;
;0,05189505;0,1147655;2,148197;0,8799995;
;0,05189505;0,1147655;2,148197;0,8899994;
;0,05189505;0,1147655;2,148197;0,8999994;
;0,05189505;0,1147655;2,148197;0,9099994;
;0,05189505;0,1147655;2,148197;0,9199994;
;0,05189505;0,1147655;2,148197;0,9299994;
;0,05189505;0,1147655;2,148197;0,9399994;
;0,05189505;0,1147655;2,148197;0,9499994;
;0,05189505;0,1147655;2,148197;0,9599994;
;0,05189505;0,1147655;2,148197;0,9699994;
;0,05189505;0,1147655;2,148197;0,9799994;
;0,05189505;0,1147655;2,148197;0,9899994;
;0,05189505;0,1147655;2,148197;0,9999993;
;0,05189505;0,1147655;2,148197;1,009999;
;0,05189505;0,1147655;2,148197;1,019999;
;0,05189505;0,1147655;2,148197;1,029999;
;0,05189505;0,1147655;2,148197;1,039999;
;0,05189505;0,1147655;2,148197;1,049999;
;0,05189505;0,1147655;2,148197;1,059999;
;0,05189505;0,1147655;2,148197;1,069999;
;0,05189505;0,1147655;2,148197;1,079999;
;0,05189505;0,1147655;2,148197;1,089999;
;0,05189505;0,1147655;2,148197;1,099999;
;0,05189505;0,1147655;2,148197;1,109999;
;0,05189505;0,1147655;2,148197;1,119999;
;0,05189505;0,1147655;2,148197;1,129999;
;0,05189505;0,1147655;2,148197;1,139999;
;0,05189505;0,1147655;2,148197;1,149999;
;0,05189505;0,1147655;2,148197;1,159999;
